freq,siec,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,TOTAL,MIO_M3,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,TOTAL,MIO_M3,AT	6560.000 	6642.000 	6913.000 	8619.000 	8903.000 	9860.541 	10807.446 	10013.110 	10252.750 	10730.621 	12414.897 	13381.378 	14171.632 	10379.164 	10119.522 	11890.337 	14434.033 	13923.121 	13055.236 	14191.254 	16455.858 
A,G3000,TOTAL,MIO_M3,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	186.000 	218.000 	227.000 	245.000 	244.604 	230.980 	210.686 
A,G3000,TOTAL,MIO_M3,BE	16045.000 	16075.000 	16648.000 	17293.000 	17766.000 	17955.000 	18245.000 	18222.000 	18918.000 	21770.000 	23723.000 	21840.000 	18922.000 	19155.000 	16845.800 	18766.100 	18232.800 	17865.900 	19799.800 	23227.300 	21665.700 
A,G3000,TOTAL,MIO_M3,BG	3384.000 	3367.000 	3074.000 	2895.000 	2960.000 	3014.000 	3195.000 	3370.000 	3432.000 	2604.000 	2608.000 	2764.000 	2485.000 	2698.000 	2683.000 	3010.000 	3094.000 	3268.781 	3115.070 	2949.968 	2925.938 
A,G3000,TOTAL,MIO_M3,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,TOTAL,MIO_M3,CZ	9209.000 	9521.000 	9734.000 	9525.000 	8817.000 	9359.000 	9794.000 	8379.000 	8693.000 	8670.000 	8510.000 	9321.000 	7471.000 	8468.000 	7249.000 	7474.000 	8123.000 	8889.000 	8007.991 	9533.193 	7589.967 
A,G3000,TOTAL,MIO_M3,DE	75767.000 	78728.000 	81341.000 	83966.000 	90421.000 	94143.000 	93044.000 	86600.000 	90759.000 	87657.000 	94026.000 	89645.000 	88401.000 	97777.000 	89896.000 	102517.000 	97379.000 	118694.443 	88347.545 	94786.760 	80439.019 
A,G3000,TOTAL,MIO_M3,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	152.000 	841.000 	918.000 	1363.000 	624.999 	661.672 	683.855 	520.291 	389.005 	1138.958 	2666.482 
A,G3000,TOTAL,MIO_M3,EA19	257060.985 	262300.404 	282431.637 	294730.813 	307656.044 	332274.146 	338566.743 	327557.475 	343011.762 	329435.443 	349078.368 	337165.754 	329991.749 	331710.881 	310512.248 	337287.851 	343635.218 	384348.819 	360301.824 	384805.523 	352063.083 
A,G3000,TOTAL,MIO_M3,EE	812.000 	872.000 	730.000 	833.000 	950.000 	979.000 	992.000 	986.000 	946.000 	642.000 	701.000 	632.000 	657.000 	678.000 	530.000 	471.000 	518.000 	510.000 	524.000 	485.700 	447.000 
A,G3000,TOTAL,MIO_M3,EL	2048.000 	2018.000 	2128.000 	2418.000 	2623.000 	2820.000 	3294.000 	4025.000 	4220.000 	3555.000 	3851.000 	4759.000 	4377.000 	3864.000 	2931.000 	3162.000 	4067.000 	4975.095 	4902.130 	5221.617 	5902.732 
A,G3000,TOTAL,MIO_M3,ES	17864.000 	18280.000 	21863.000 	24450.000 	28431.000 	34937.000 	36553.000 	36386.000 	40750.000 	36576.000 	36721.000 	35489.000 	35062.000 	35489.000 	36384.000 	32391.000 	32405.000 	34626.000 	34817.000 	37209.000 	32485.000 
A,G3000,TOTAL,MIO_M3,EU27_2020	292157.985 	298487.404 	319983.637 	335969.813 	347976.044 	374439.146 	382124.743 	366840.475 	384314.762 	364553.443 	385860.368 	375170.754 	366658.749 	368718.881 	344438.247 	369409.523 	382492.073 	430202.169 	404571.500 	440299.019 	400589.359 
A,G3000,TOTAL,MIO_M3,EU28	294539.985 	301241.404 	325473.637 	343820.813 	360082.044 	390181.146 	404398.743 	397577.475 	420401.762 	406725.443 	441169.368 	429792.754 	417374.749 	418027.881 	388307.447 	414874.606 	431032.498 	477757.532 	451678.957 	487973.354 	: 
A,G3000,TOTAL,MIO_M3,FI	4220.000 	4570.000 	4542.000 	5036.000 	4871.000 	4438.000 	4773.000 	4595.000 	4755.000 	4276.000 	4715.000 	4121.000 	3684.000 	3488.000 	3063.000 	2713.000 	2496.000 	2322.000 	2641.000 	2594.000 	2568.000 
A,G3000,TOTAL,MIO_M3,FR	41041.000 	40156.000 	42090.000 	43419.000 	45289.000 	48058.000 	45501.000 	43816.000 	46446.000 	47134.000 	48745.000 	50036.882 	48060.439 	48205.567 	45436.533 	44487.899 	46536.484 	48638.995 	49442.320 	54948.085 	46321.129 
A,G3000,TOTAL,MIO_M3,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1968.244 	2243.343 	2554.059 	2310.694 	2390.407 	2357.087 	2685.768 	2690.837 
A,G3000,TOTAL,MIO_M3,HR	1108.000 	1083.000 	1084.000 	1139.000 	1054.000 	1134.000 	1127.000 	1055.000 	1227.000 	1044.000 	1070.000 	876.000 	1358.000 	1270.000 	1133.000 	1050.000 	1265.000 	1818.300 	1589.200 	2003.400 	2143.700 
A,G3000,TOTAL,MIO_M3,HU	9047.000 	9587.000 	10700.000 	12176.000 	11418.000 	12004.000 	11531.000 	10497.000 	11403.000 	9635.000 	9637.000 	8019.000 	8173.000 	8176.000 	8942.000 	6790.000 	8619.000 	13367.000 	12746.000 	18647.000 	12193.000 
A,G3000,TOTAL,MIO_M3,IE	2827.000 	3384.000 	3472.000 	3635.000 	3440.000 	3498.000 	4185.532 	4552.004 	4843.077 	4684.128 	5228.109 	4631.781 	4521.807 	4371.000 	4245.621 	4234.000 	2004.000 	1652.587 	2040.651 	2852.223 	3437.000 
A,G3000,TOTAL,MIO_M3,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,TOTAL,MIO_M3,IT	57447.000 	54775.000 	59291.000 	62794.000 	67908.000 	73460.000 	77399.000 	73950.000 	76867.000 	69250.000 	75354.000 	70369.000 	67725.000 	61966.000 	55757.000 	61266.000 	65284.000 	69650.038 	67872.446 	71065.255 	66392.830 
A,G3000,TOTAL,MIO_M3,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	25.019 
A,G3000,TOTAL,MIO_M3,LT	2537.000 	2635.000 	2664.000 	2893.000 	2879.000 	3063.000 	3047.000 	3656.000 	3071.000 	2690.000 	3053.000 	3349.000 	3263.000 	2661.000 	2640.000 	2588.000 	2258.000 	2501.000 	2295.000 	2749.000 	2862.100 
A,G3000,TOTAL,MIO_M3,LU	757.985 	842.404 	1206.637 	1222.813 	1357.044 	1336.605 	1402.765 	1312.361 	1254.935 	1268.694 	1364.362 	1182.713 	1209.871 	1030.150 	972.772 	874.777 	803.881 	784.763 	778.526 	779.366 	703.545 
A,G3000,TOTAL,MIO_M3,LV	1385.000 	1350.000 	1425.000 	1750.000 	2170.000 	1790.000 	1910.000 	1645.000 	1368.000 	1743.000 	1125.000 	1755.000 	1716.000 	1698.000 	947.000 	1306.000 	1132.000 	1242.660 	1414.807 	1353.952 	1114.949 
A,G3000,TOTAL,MIO_M3,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1188.000 	1152.000 	1095.000 	1031.000 	1053.000 	1008.000 	1038.000 	1033.482 	1129.700 	1039.600 	1056.000 
A,G3000,TOTAL,MIO_M3,ME	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,TOTAL,MIO_M3,MK	65.000 	87.000 	91.000 	80.000 	71.000 	76.000 	82.000 	104.000 	119.000 	79.000 	116.000 	134.000 	139.000 	157.000 	134.000 	135.000 	211.000 	271.000 	251.000 	292.000 	334.000 
A,G3000,TOTAL,MIO_M3,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	301.825 	378.707 	379.422 	364.182 
A,G3000,TOTAL,MIO_M3,NL	17407.000 	21380.000 	26752.000 	25472.000 	18840.000 	22936.000 	25172.000 	26092.000 	26456.000 	25666.000 	25746.000 	23979.000 	28042.000 	30432.000 	31151.000 	40687.738 	45901.020 	54235.158 	60893.798 	59287.722 	59800.177 
A,G3000,TOTAL,MIO_M3,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	6.000 	1.400 	0.600 	0.000 	0.000 	0.000 	0.000 	0.000 	9.191 	26.913 	33.822 
A,G3000,TOTAL,MIO_M3,PL	8097.000 	8782.000 	8202.000 	9200.000 	9963.000 	10463.000 	10922.000 	10124.000 	11202.000 	9954.000 	10895.000 	11790.000 	12248.000 	12485.000 	11819.000 	12121.000 	14679.000 	15727.284 	15766.858 	17451.368 	17415.952 
A,G3000,TOTAL,MIO_M3,PT	2300.000 	2553.000 	3110.000 	3026.000 	3760.000 	4464.000 	4200.000 	4319.000 	4763.000 	4896.000 	5160.000 	5184.000 	4508.000 	4401.000 	4070.000 	4713.000 	4945.000 	6274.734 	5817.658 	6069.167 	5904.762 
A,G3000,TOTAL,MIO_M3,RO	3370.000 	2879.000 	3772.000 	5321.000 	5129.000 	5259.000 	6013.000 	4851.000 	4432.000 	2006.000 	2279.000 	3092.000 	2884.000 	1463.000 	584.000 	203.000 	1476.000 	1195.694 	1516.552 	2681.072 	2144.357 
A,G3000,TOTAL,MIO_M3,RS	1122.000 	1575.000 	1698.000 	1882.000 	2536.000 	2120.000 	2167.000 	2232.000 	2201.000 	1584.000 	1968.000 	1747.000 	1790.000 	1887.000 	1395.000 	1740.000 	1795.000 	2182.632 	2198.330 	2262.610 	1989.886 
A,G3000,TOTAL,MIO_M3,SE	882.000 	968.000 	986.000 	983.000 	979.000 	932.000 	976.000 	1007.000 	914.000 	1205.000 	1631.000 	1302.000 	1130.000 	1085.000 	891.000 	812.000 	917.000 	1067.000 	1139.000 	1088.537 	1446.880 
A,G3000,TOTAL,MIO_M3,SI	1007.000 	1038.000 	1001.000 	1109.000 	1099.000 	1137.000 	1101.000 	1120.000 	1076.000 	1019.000 	1053.000 	904.000 	870.000 	847.000 	766.000 	813.000 	861.000 	902.500 	885.200 	898.700 	898.100 
A,G3000,TOTAL,MIO_M3,SK	7036.000 	7002.000 	7255.000 	6795.000 	6949.000 	7399.000 	6940.000 	6268.000 	6266.000 	5878.000 	6098.000 	5907.000 	4801.000 	5269.000 	4757.000 	4407.000 	4378.000 	5248.000 	4396.000 	6707.000 	4301.000 
A,G3000,TOTAL,MIO_M3,TR	14380.000 	15754.000 	17110.000 	20650.000 	21732.000 	26573.000 	30219.000 	35832.000 	37153.000 	35856.000 	38037.000 	43878.000 	45922.000 	45270.000 	49262.000 	48427.000 	46352.000 	55250.000 	50282.000 	45212.000 	48125.771 
A,G3000,TOTAL,MIO_M3,UA	59220.000 	56937.000 	56228.000 	60430.000 	62132.000 	60196.000 	50221.000 	49234.000 	51687.000 	37307.000 	35969.000 	44037.000 	32365.000 	27495.000 	19134.000 	16174.000 	10719.000 	13705.000 	10293.000 	11567.481 	8988.000 
A,G3000,TOTAL,MIO_M3,UK	2382.000 	2754.000 	5490.000 	7851.000 	12106.000 	15742.000 	22274.000 	30737.000 	36087.000 	42172.000 	55309.000 	54622.000 	50716.000 	49309.000 	43820.000 	45276.153 	48243.028 	47155.774 	47160.385 	47380.347 	: 
A,G3000,TOTAL,MIO_M3,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
