freq,siec,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,O4000,TOTAL,THS_T,IS	949.000 	871.000 	891.000 	864.000 	986.000 	983.000 	1028.000 	1039.000 	1200.000 	1180.000 	672.000 	695.000 	688.000 	705.000 	746.000 	836.000 	928.515 	963.198 	1110.614 	880.878 	624.505 
A,O4000,TOTAL,THS_T,IT	110482.000 	107246.000 	108226.000 	109375.000 	108613.000 	108937.000 	107666.000 	108455.000 	102336.000 	94637.000 	97252.000 	90225.000 	85711.000 	77952.000 	71291.000 	80536.000 	81483.000 	84683.976 	81297.220 	80405.272 	65419.015 
A,O4000,TOTAL,THS_T,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	32.000 	0.000 	32.000 	30.000 
A,O4000,TOTAL,THS_T,LT	5379.000 	6958.000 	6568.000 	7486.000 	9266.000 	9495.000 	9092.000 	6511.000 	9989.000 	9149.000 	10051.000 	10188.000 	10105.000 	10674.000 	9277.000 	11080.000 	11484.000 	11210.000 	10800.100 	10777.300 	8945.100 
A,O4000,TOTAL,THS_T,LU	2347.705 	2422.230 	2504.649 	2679.945 	3008.298 	3100.392 	2974.777 	2877.264 	2946.342 	2756.814 	2856.974 	2934.841 	2858.574 	2815.099 	2729.698 	2673.136 	2701.236 	2852.330 	3000.591 	3066.624 	2518.374 
A,O4000,TOTAL,THS_T,LV	1333.000 	1483.000 	1415.000 	1564.000 	1962.000 	2257.000 	2088.000 	2001.000 	1935.000 	1987.000 	1906.000 	2071.000 	2138.000 	2300.000 	2328.000 	2706.000 	2740.000 	2541.332 	2433.091 	2285.690 	1978.415 
A,O4000,TOTAL,THS_T,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	722.000 	803.000 	745.000 	790.000 	781.000 	831.000 	899.000 	937.000 	1014.700 	1014.600 	958.300 
A,O4000,TOTAL,THS_T,ME	: 	: 	: 	: 	: 	293.000 	384.000 	420.000 	430.000 	342.000 	331.000 	316.000 	294.000 	286.000 	294.000 	302.000 	357.000 	402.600 	420.300 	425.500 	324.600 
A,O4000,TOTAL,THS_T,MK	1157.000 	1060.000 	1096.000 	1117.000 	1120.000 	1267.000 	1328.000 	1266.000 	1300.000 	1369.000 	1247.000 	1331.000 	1252.000 	1063.000 	1099.000 	1142.000 	1212.916 	1117.123 	1095.695 	1251.111 	1149.499 
A,O4000,TOTAL,THS_T,MT	1484.000 	1634.000 	1594.000 	1855.000 	1948.000 	1631.000 	1728.000 	1844.000 	1928.000 	2074.000 	2441.000 	2360.000 	2248.000 	2341.000 	2302.000 	2719.000 	2690.000 	2928.125 	3013.974 	3134.905 	2775.947 
A,O4000,TOTAL,THS_T,NL	102756.258 	104966.217 	104118.001 	105464.780 	115845.879 	123423.494 	128987.816 	124109.370 	128564.971 	135202.312 	144230.526 	141989.394 	146559.969 	143039.909 	140001.191 	154194.595 	154244.938 	150901.702 	149220.962 	147072.798 	130025.552 
A,O4000,TOTAL,THS_T,NO	4530.000 	4528.000 	4374.000 	4472.000 	4458.000 	5052.000 	4679.000 	5226.000 	5225.000 	5849.000 	6065.000 	5588.000 	5824.000 	6778.000 	5515.000 	6497.000 	6250.000 	7835.000 	9032.171 	9107.795 	9054.238 
A,O4000,TOTAL,THS_T,PL	21331.000 	21400.000 	22070.000 	21923.000 	22997.000 	24377.000 	26597.000 	28532.000 	27380.000 	26903.000 	28624.000 	29668.000 	29602.000 	27850.000 	28698.000 	31953.000 	32039.000 	34469.138 	36185.728 	35500.528 	32905.738 
A,O4000,TOTAL,THS_T,PT	17251.000 	17997.000 	17577.000 	17878.000 	17580.000 	19179.000 	17896.000 	16882.000 	16938.000 	15226.000 	15136.000 	14762.000 	14298.000 	15851.000 	14966.000 	17730.000 	17390.000 	18030.225 	16522.590 	16110.788 	14395.298 
A,O4000,TOTAL,THS_T,RO	6360.000 	8343.000 	8206.000 	7161.000 	9172.000 	9774.000 	10071.000 	9908.000 	10383.000 	8798.000 	8241.000 	8005.000 	7971.000 	7808.000 	9289.000 	9718.000 	10510.000 	11176.063 	11715.066 	12205.905 	10859.059 
A,O4000,TOTAL,THS_T,RS	479.000 	2029.000 	2678.000 	2990.000 	3710.000 	3774.000 	4001.000 	3770.000 	3872.000 	3440.000 	3172.000 	2951.000 	2423.000 	2535.000 	2620.000 	2889.000 	3357.000 	3581.823 	3695.747 	3597.091 	3532.230 
A,O4000,TOTAL,THS_T,SE	26399.000 	26234.000 	25203.000 	27919.000 	27665.000 	27556.000 	26876.000 	25694.000 	28733.000 	26583.000 	27839.000 	27114.000 	27494.000 	23945.000 	26583.000 	27920.000 	30452.000 	29089.000 	29092.000 	24815.624 	27010.199 
A,O4000,TOTAL,THS_T,SI	2598.000 	2531.000 	2485.000 	2517.000 	2641.000 	2786.000 	3000.000 	3010.000 	3640.000 	3053.000 	3227.000 	3270.000 	3438.000 	3260.000 	3707.000 	4035.000 	4548.000 	4719.512 	4751.938 	4881.791 	4028.870 
A,O4000,TOTAL,THS_T,SK	5599.000 	6043.000 	6517.000 	6489.000 	7181.000 	6797.000 	7110.000 	7346.000 	7300.000 	6990.000 	6824.000 	7320.000 	6640.000 	7243.000 	6593.000 	7562.000 	7551.000 	7563.000 	7384.000 	7004.000 	7287.000 
A,O4000,TOTAL,THS_T,TR	30252.000 	29033.000 	31198.000 	32351.000 	33794.000 	33202.000 	36667.000 	37294.000 	35676.000 	32335.000 	35297.000 	36081.000 	39804.000 	40074.000 	39925.000 	48475.000 	49736.000 	52304.000 	48573.000 	52010.000 	47592.314 
A,O4000,TOTAL,THS_T,UA	10785.000 	15469.000 	20584.000 	23916.000 	23365.000 	17080.000 	15099.000 	15190.000 	13873.000 	12598.000 	13762.000 	13350.000 	9796.000 	7910.000 	8111.000 	7976.000 	9461.000 	10625.000 	11310.750 	11501.900 	11716.200 
A,O4000,TOTAL,THS_T,UK	68599.000 	70498.000 	72367.000 	71104.000 	81060.000 	81185.000 	86276.000 	82445.000 	84142.000 	76546.000 	78652.000 	80624.000 	86629.000 	87009.000 	83039.000 	82833.528 	83927.278 	87745.830 	87924.631 	85632.096 	: 
A,O4000,TOTAL,THS_T,XK	326.000 	412.000 	411.000 	428.000 	438.000 	453.000 	478.000 	507.000 	542.000 	572.000 	540.000 	637.000 	587.000 	599.000 	558.000 	704.000 	683.000 	759.711 	763.946 	800.672 	774.810 
