freq,siec,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,PC,ME	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,PC,MK	99.285 	99.851 	100.375 	100.032 	100.147 	99.520 	100.448 	100.100 	99.978 	99.867 	100.090 	100.000 	100.000 	100.066 	99.865 	100.019 	100.000 	100.076 	100.062 	99.965 	99.992 
A,G3000,PC,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	105.197 	109.481 	103.623 	96.165 
A,G3000,PC,NL	-49.096 	-56.229 	-51.535 	-45.025 	-67.635 	-59.277 	-61.701 	-63.574 	-72.908 	-60.458 	-60.423 	-68.143 	-75.970 	-86.935 	-74.846 	-36.656 	-32.799 	-4.364 	14.959 	25.948 	45.032 
A,G3000,PC,NO	-1016.692 	-708.709 	-1298.906 	-1181.816 	-1627.512 	-1743.107 	-1801.847 	-1504.252 	-1152.836 	-1228.820 	-1385.840 	-1687.439 	-1750.069 	-1614.268 	-1571.275 	-1552.299 	-1722.399 	-2069.521 	-1820.885 	-1905.009 	-2031.075 
A,G3000,PC,PL	66.337 	69.176 	66.059 	66.592 	68.342 	69.732 	70.732 	66.022 	72.614 	67.345 	69.305 	75.097 	73.396 	74.202 	71.971 	72.206 	78.378 	77.772 	77.602 	82.370 	78.252 
A,G3000,PC,PT	100.265 	99.869 	99.904 	100.267 	100.037 	103.794 	100.606 	98.748 	100.141 	101.166 	100.366 	101.559 	99.734 	101.519 	100.036 	100.357 	98.571 	100.418 	101.057 	99.930 	99.280 
A,G3000,PC,RO	19.823 	17.515 	22.965 	28.765 	29.500 	30.096 	33.743 	30.286 	29.039 	15.104 	16.831 	22.186 	21.317 	11.843 	4.976 	1.802 	13.025 	9.697 	12.026 	23.175 	16.634 
A,G3000,PC,RS	59.332 	73.728 	79.073 	83.794 	88.887 	88.262 	88.160 	89.928 	89.288 	90.409 	84.541 	73.136 	84.937 	80.519 	69.021 	79.165 	75.579 	82.087 	82.108 	90.387 	79.643 
A,G3000,PC,SE	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 
A,G3000,PC,SI	99.268 	99.393 	99.371 	99.528 	99.519 	99.630 	99.618 	99.718 	99.706 	99.690 	99.305 	99.767 	99.758 	99.627 	99.588 	99.612 	99.393 	99.028 	98.119 	99.201 	99.371 
A,G3000,PC,SK	98.796 	91.851 	100.063 	97.049 	103.261 	97.481 	96.560 	97.864 	96.311 	108.579 	99.925 	104.800 	89.813 	95.337 	104.812 	95.052 	92.848 	105.587 	89.556 	136.632 	88.052 
A,G3000,PC,TR	95.358 	98.846 	97.319 	97.528 	96.863 	97.112 	96.942 	97.842 	100.200 	100.083 	98.059 	96.600 	100.116 	97.755 	99.588 	99.947 	98.293 	101.663 	99.583 	98.788 	98.580 
A,G3000,PC,UA	75.910 	75.306 	74.523 	77.124 	75.986 	73.499 	74.646 	72.761 	80.410 	75.111 	53.493 	77.240 	61.805 	57.260 	47.008 	50.959 	34.409 	45.869 	32.975 	40.966 	31.181 
A,G3000,PC,UK	-10.653 	-9.625 	-8.134 	-8.176 	1.669 	6.988 	11.784 	20.287 	26.103 	33.168 	39.970 	46.231 	49.268 	51.591 	46.612 	43.346 	46.024 	45.160 	49.358 	49.837 	: 
A,G3000,PC,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
