freq,siec,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,O4000XBIO,PC,PT	99.384 	102.833 	96.235 	103.090 	97.866 	102.342 	99.083 	98.061 	102.965 	99.309 	97.538 	100.829 	99.180 	97.143 	97.379 	101.719 	98.712 	100.202 	103.959 	98.125 	97.558 
A,O4000XBIO,PC,RO	34.446 	46.681 	33.720 	32.218 	46.775 	38.605 	43.742 	51.563 	52.157 	52.100 	52.622 	47.394 	52.173 	47.653 	54.945 	54.243 	57.326 	61.289 	63.128 	65.367 	64.704 
A,O4000XBIO,PC,RS	32.827 	66.062 	73.800 	77.778 	84.411 	85.043 	85.927 	83.401 	86.814 	80.432 	74.812 	72.639 	65.435 	60.724 	61.704 	64.100 	72.512 	75.405 	76.101 	75.678 	76.211 
A,O4000XBIO,PC,SE	100.758 	104.250 	91.513 	105.082 	98.095 	103.881 	99.409 	99.132 	102.651 	101.663 	93.662 	98.623 	95.509 	100.436 	101.572 	114.645 	107.341 	86.791 	90.630 	106.841 	127.812 
A,O4000XBIO,PC,SI	101.542 	97.925 	100.672 	101.333 	101.377 	101.248 	97.810 	98.860 	101.680 	100.295 	99.163 	99.703 	104.251 	97.257 	97.686 	99.614 	100.296 	103.178 	99.240 	101.441 	99.471 
A,O4000XBIO,PC,SK	92.483 	97.472 	97.417 	101.002 	103.644 	97.360 	104.403 	100.980 	100.988 	97.911 	98.433 	100.898 	99.435 	100.996 	102.547 	100.607 	102.026 	97.540 	101.251 	101.264 	101.986 
A,O4000XBIO,PC,TR	93.420 	91.950 	91.384 	93.171 	93.072 	90.900 	94.048 	96.480 	93.459 	90.999 	92.581 	91.454 	95.648 	93.079 	93.104 	97.636 	95.462 	95.672 	94.919 	93.652 	91.796 
A,O4000XBIO,PC,UA	69.621 	72.799 	75.844 	76.659 	76.610 	64.940 	69.790 	71.289 	69.412 	69.850 	72.927 	73.640 	69.033 	70.843 	69.136 	74.950 	84.760 	80.810 	82.173 	80.268 	81.877 
A,O4000XBIO,PC,UK	-54.380 	-43.822 	-47.948 	-33.389 	-16.898 	-3.113 	8.659 	2.106 	9.102 	7.716 	14.078 	26.808 	36.673 	39.547 	42.188 	36.712 	34.146 	35.647 	28.721 	27.824 	: 
A,O4000XBIO,PC,XK	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 
