freq,siec,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,O4000XBIO,PC,AL	69.526 	71.513 	69.848 	72.627 	69.859 	72.185 	58.682 	57.810 	62.829 	61.658 	47.637 	30.864 	2.005 	26.113 	23.111 	6.395 	26.408 	40.254 	33.284 	28.314 	37.374 
A,O4000XBIO,PC,AT	89.043 	89.079 	93.789 	93.570 	93.687 	92.053 	95.689 	91.962 	92.867 	91.546 	90.404 	92.308 	92.243 	92.440 	91.418 	93.835 	91.802 	92.212 	93.985 	95.653 	97.468 
A,O4000XBIO,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96.591 	104.760 	104.837 	100.316 	97.049 	93.188 	99.810 
A,O4000XBIO,PC,BE	100.157 	100.821 	98.924 	100.801 	99.813 	100.759 	100.778 	97.391 	101.262 	99.182 	101.319 	100.535 	99.213 	101.920 	100.992 	103.780 	98.694 	97.055 	100.677 	101.483 	102.725 
A,O4000XBIO,PC,BG	96.015 	98.432 	98.875 	97.862 	98.359 	102.530 	99.111 	100.839 	99.641 	101.947 	101.881 	98.637 	97.892 	104.578 	98.707 	101.827 	100.510 	101.588 	95.744 	102.601 	97.511 
A,O4000XBIO,PC,CY	100.309 	97.540 	102.023 	97.768 	97.809 	102.313 	104.179 	98.583 	100.080 	98.913 	104.192 	95.790 	100.980 	100.817 	97.867 	102.824 	100.671 	100.900 	99.230 	99.716 	101.676 
A,O4000XBIO,PC,CZ	95.310 	97.452 	93.622 	95.754 	93.631 	97.493 	96.890 	96.307 	97.636 	96.799 	96.543 	95.446 	95.466 	96.473 	97.614 	97.828 	97.250 	97.062 	99.469 	97.527 	101.229 
A,O4000XBIO,PC,DE	94.592 	96.683 	94.059 	97.230 	95.438 	97.317 	95.791 	94.357 	96.227 	96.503 	96.756 	95.500 	97.151 	96.475 	95.908 	96.541 	96.374 	95.834 	95.484 	97.339 	96.544 
A,O4000XBIO,PC,DK	-84.105 	-71.347 	-99.284 	-99.795 	-116.420 	-104.447 	-86.460 	-66.199 	-49.170 	-61.165 	-44.328 	-48.119 	-35.050 	-15.521 	-9.933 	5.297 	2.537 	-5.315 	18.261 	44.820 	54.996 
A,O4000XBIO,PC,EA19	97.639 	96.789 	96.347 	97.189 	96.860 	97.650 	97.531 	96.050 	97.541 	96.861 	96.919 	96.273 	96.736 	96.883 	96.294 	98.545 	96.636 	96.031 	96.403 	98.208 	97.875 
A,O4000XBIO,PC,EE	101.467 	93.712 	100.990 	97.816 	99.308 	98.847 	105.361 	105.068 	95.682 	106.817 	95.781 	100.337 	100.283 	103.619 	101.688 	101.744 	101.507 	115.048 	84.630 	129.644 	130.198 
A,O4000XBIO,PC,EL	100.318 	98.540 	102.640 	96.127 	104.829 	97.782 	101.338 	100.971 	101.295 	96.763 	98.697 	93.929 	101.387 	94.730 	99.930 	105.487 	99.698 	98.097 	97.935 	95.719 	106.438 
A,O4000XBIO,PC,ES	101.034 	99.293 	101.174 	99.603 	99.377 	101.243 	100.839 	99.654 	100.365 	98.866 	99.882 	99.793 	96.758 	97.355 	101.662 	102.151 	99.236 	97.849 	98.957 	101.835 	99.355 
A,O4000XBIO,PC,EU27_2020	93.279 	92.919 	91.873 	93.088 	92.702 	93.847 	93.775 	93.110 	94.537 	93.974 	93.966 	93.345 	93.855 	94.323 	94.087 	96.748 	94.701 	93.783 	94.520 	96.728 	96.996 
A,O4000XBIO,PC,FI	104.066 	103.436 	93.885 	101.183 	96.144 	99.097 	100.390 	100.202 	103.588 	101.140 	92.275 	99.935 	95.631 	109.192 	98.175 	109.478 	97.364 	96.110 	98.182 	95.120 	102.416 
A,O4000XBIO,PC,FR	99.533 	97.763 	98.711 	99.416 	97.833 	99.380 	98.467 	98.030 	97.878 	97.840 	97.907 	98.354 	98.222 	99.313 	98.572 	98.608 	97.657 	99.122 	98.042 	98.429 	98.552 
A,O4000XBIO,PC,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95.270 	96.614 	98.081 	95.780 	96.509 	99.511 	96.545 	99.367 
A,O4000XBIO,PC,HR	61.035 	67.549 	81.472 	70.715 	77.686 	79.383 	76.579 	81.593 	84.232 	77.759 	80.642 	81.229 	75.150 	78.793 	75.748 	81.432 	78.967 	77.130 	82.112 	76.278 	73.696 
A,O4000XBIO,PC,HU	75.879 	71.482 	72.854 	76.342 	78.211 	81.998 	79.333 	82.926 	81.630 	78.639 	85.293 	83.116 	82.009 	85.254 	88.264 	93.700 	90.073 	86.980 	86.217 	86.649 	87.085 
A,O4000XBIO,PC,IE	98.778 	101.756 	101.453 	100.507 	100.307 	100.010 	100.836 	97.070 	101.176 	99.082 	97.482 	101.753 	99.325 	101.065 	98.417 	104.591 	99.084 	98.135 	98.004 	98.778 	103.223 
A,O4000XBIO,PC,IS	104.289 	99.691 	97.354 	94.231 	103.321 	102.012 	97.386 	99.936 	99.831 	101.893 	95.636 	100.573 	100.716 	101.794 	98.979 	102.534 	100.979 	99.799 	105.828 	95.742 	95.886 
A,O4000XBIO,PC,IT	96.135 	92.930 	94.093 	93.034 	93.137 	91.804 	93.174 	92.264 	91.947 	91.922 	93.576 	91.039 	90.065 	90.714 	88.536 	89.433 	90.948 	91.515 	89.845 	92.510 	88.717 
A,O4000XBIO,PC,LT	100.978 	75.440 	76.469 	89.443 	94.759 	93.445 	97.953 	95.085 	92.806 	89.998 	98.667 	91.549 	93.114 	93.369 	93.153 	100.712 	97.912 	94.995 	98.438 	100.828 	102.673 
A,O4000XBIO,PC,LU	102.098 	98.814 	100.677 	100.209 	99.583 	99.387 	100.983 	98.751 	100.179 	100.094 	99.348 	99.685 	100.461 	100.325 	100.228 	99.295 	100.039 	99.708 	99.733 	100.371 	99.959 
A,O4000XBIO,PC,LV	94.867 	101.365 	97.990 	99.216 	100.288 	102.174 	102.196 	98.248 	99.027 	99.504 	94.442 	101.825 	101.679 	100.387 	92.444 	102.920 	109.121 	100.121 	98.079 	100.194 	105.579 
A,O4000XBIO,PC,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	94.119 	100.020 	97.197 	98.964 	97.176 	100.983 	101.241 	98.661 	99.651 	100.200 	100.522 
A,O4000XBIO,PC,ME	: 	: 	: 	: 	: 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	102.947 	97.670 	104.508 	101.866 	100.654 	96.899 	95.291 
A,O4000XBIO,PC,MK	97.176 	102.737 	108.369 	90.627 	102.353 	102.418 	100.192 	96.590 	97.451 	106.394 	97.834 	97.307 	103.737 	93.931 	99.888 	99.827 	101.886 	99.678 	99.215 	101.847 	102.941 
A,O4000XBIO,PC,MT	100.246 	99.822 	99.817 	99.843 	99.850 	100.000 	100.000 	100.000 	100.000 	99.972 	99.215 	101.587 	101.386 	104.622 	98.273 	97.876 	101.815 	104.180 	97.417 	97.803 	99.270 
A,O4000XBIO,PC,NL	97.364 	93.762 	90.819 	91.843 	95.165 	96.211 	96.069 	92.365 	97.650 	97.861 	94.222 	92.251 	97.903 	95.284 	91.347 	101.725 	95.044 	90.541 	93.917 	101.078 	100.158 
A,O4000XBIO,PC,NO	-1598.987 	-1746.682 	-1637.971 	-1345.487 	-1114.600 	-967.907 	-858.789 	-1031.753 	-817.782 	-752.495 	-621.184 	-759.057 	-572.895 	-474.033 	-710.795 	-747.480 	-864.525 	-714.510 	-673.745 	-776.553 	-926.655 
A,O4000XBIO,PC,PL	99.708 	93.435 	96.561 	98.503 	96.386 	98.492 	100.597 	105.509 	97.351 	99.831 	98.203 	96.829 	96.625 	93.539 	95.451 	99.497 	94.957 	98.598 	98.770 	97.333 	96.861 
