freq,siec,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,O4000,RU,THS_T,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	63.756 	51.929 	86.984 
A,O4000,RU,THS_T,AT	964.000 	1122.000 	973.000 	1523.000 	1182.000 	2242.448 	1381.951 	242.215 	306.220 	300.880 	694.699 	1214.315 	1180.611 	1112.057 	650.590 	782.432 	960.784 	525.553 	284.513 	371.716 	804.759 
A,O4000,RU,THS_T,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	951.000 	928.000 	929.000 	856.000 	521.410 	0.316 	11.276 
A,O4000,RU,THS_T,BE	7120.000 	7222.000 	11225.000 	12976.000 	15732.000 	16054.000 	15371.000 	17745.000 	16537.000 	14316.000 	16735.000 	16036.000 	14928.000 	16597.000 	16873.000 	15089.000 	15651.000 	20956.000 	16721.900 	14062.000 	11708.400 
A,O4000,RU,THS_T,BG	5203.000 	5545.000 	5105.000 	3726.000 	5129.000 	5408.000 	6363.000 	4653.000 	5116.000 	4578.000 	5933.000 	5725.000 	6483.000 	6578.000 	6219.000 	5939.000 	5704.000 	4790.585 	4290.658 	5036.777 	571.964 
A,O4000,RU,THS_T,CY	602.000 	511.000 	1753.000 	1004.000 	79.000 	44.000 	27.000 	26.000 	0.000 	0.000 	52.000 	2.000 	47.000 	27.000 	4.000 	6.000 	74.000 	7.670 	12.564 	55.903 	26.218 
A,O4000,RU,THS_T,CZ	4779.000 	4142.000 	3957.000 	4349.000 	4474.000 	5520.000 	5251.000 	4658.000 	5430.000 	5114.000 	4963.000 	4125.000 	4569.000 	4241.000 	4176.000 	4039.000 	3449.000 	4117.000 	4034.000 	3843.000 	3027.000 
A,O4000,RU,THS_T,DE	30618.000 	31529.000 	32498.000 	35125.000 	38765.000 	39619.000 	38815.000 	35235.000 	35380.000 	36580.000 	36205.000 	37296.000 	37378.000 	35625.000 	36295.000 	38025.000 	43084.000 	41392.000 	37716.000 	33795.000 	34902.000 
A,O4000,RU,THS_T,DK	362.000 	612.000 	511.000 	852.000 	522.000 	858.000 	342.000 	615.000 	521.000 	299.000 	903.000 	1171.000 	301.000 	1744.000 	2451.000 	4553.225 	4603.094 	2284.875 	1655.468 	1261.000 	1735.621 
A,O4000,RU,THS_T,EA19	102999.913 	125777.536 	143584.327 	158444.833 	170324.910 	172881.861 	171407.142 	171305.738 	166358.567 	169666.808 	172705.312 	168295.861 	163853.688 	168336.170 	161350.117 	162545.420 	176026.669 	175117.353 	163644.594 	145463.540 	131288.412 
A,O4000,RU,THS_T,EE	455.000 	460.000 	507.000 	403.000 	384.000 	351.370 	557.810 	398.550 	521.190 	299.870 	176.080 	109.290 	620.990 	274.510 	287.000 	412.000 	457.000 	563.000 	627.000 	534.434 	714.560 
A,O4000,RU,THS_T,EL	5662.000 	7466.000 	11496.000 	10062.000 	8614.000 	8936.000 	7759.000 	7999.000 	8549.000 	8304.000 	8948.000 	6039.000 	9075.000 	8632.000 	8543.000 	8232.000 	6809.000 	6555.475 	7675.754 	6664.651 	8244.442 
A,O4000,RU,THS_T,ES	6884.000 	7062.000 	9581.000 	11969.000 	11196.000 	12168.000 	15041.000 	16668.000 	11323.000 	12151.000 	10632.000 	11370.000 	9406.000 	9208.000 	9355.000 	6203.000 	6821.000 	5118.000 	2625.000 	4113.000 	4096.000 
A,O4000,RU,THS_T,EU27_2020	143830.913 	165327.536 	187754.327 	201337.833 	213230.910 	226185.861 	226516.142 	224871.738 	218563.567 	219682.808 	228232.312 	223284.861 	219279.688 	222747.170 	217740.117 	222475.645 	233900.763 	228368.450 	217885.973 	195288.244 	170565.688 
A,O4000,RU,THS_T,EU28	147294.913 	168954.536 	192412.327 	207213.833 	224239.910 	232959.861 	238046.142 	235054.738 	228293.567 	226813.808 	235538.312 	231749.861 	229426.688 	231922.170 	224943.117 	229374.387 	241819.322 	238627.816 	228077.750 	205772.794 	: 
A,O4000,RU,THS_T,FI	7148.000 	7197.000 	8048.000 	10039.000 	11556.000 	11405.000 	10170.000 	11964.000 	12704.000 	12847.000 	13116.000 	12817.000 	12432.000 	12840.000 	11379.000 	11410.000 	13322.000 	12636.000 	12320.000 	13246.000 	11243.000 
A,O4000,RU,THS_T,FR	9363.000 	12871.000 	14882.000 	17595.000 	18448.000 	16783.000 	17875.000 	18629.000 	19120.000 	20720.000 	22917.000 	19895.000 	15786.000 	14451.000 	13601.000 	11646.000 	12092.000 	14413.000 	13399.699 	12087.000 	10159.000 
A,O4000,RU,THS_T,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	119.000 	55.000 	171.000 	227.000 	272.600 	312.669 	360.013 	381.758 
A,O4000,RU,THS_T,HR	1957.000 	1626.000 	2946.000 	1631.000 	3133.000 	3436.000 	3800.000 	4111.000 	3454.000 	3551.000 	2289.000 	2121.000 	1689.000 	1971.000 	1060.000 	929.000 	567.000 	621.600 	709.100 	364.865 	393.100 
A,O4000,RU,THS_T,HU	5806.000 	5735.000 	5450.000 	5334.000 	5914.000 	7129.000 	7529.000 	7588.000 	7407.000 	6130.000 	6897.000 	6952.000 	6253.000 	6052.000 	6167.000 	5562.000 	5022.000 	4176.000 	5073.000 	5381.000 	4293.000 
