freq,siec,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,E7000,TOTAL,GWH,AL	1224.000 	1820.000 	2163.000 	1242.000 	477.000 	371.000 	611.000 	2828.000 	2434.000 	1886.000 	1986.000 	3262.000 	2538.000 	2323.000 	3250.000 	2355.000 	0.000 	2914.628 	850.480 	3176.515 	3238.631 
A,E7000,TOTAL,GWH,AT	13824.000 	14467.000 	15375.000 	19003.000 	16629.000 	20355.431 	20924.826 	21783.088 	19795.314 	19542.064 	19908.697 	24976.711 	23429.715 	24959.570 	26711.723 	29389.163 	26366.160 	29362.427 	28076.136 	26046.847 	24522.492 
A,E7000,TOTAL,GWH,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3162.000 	3872.000 	3084.000 	3346.000 	3092.000 	2825.000 	3266.000 
A,E7000,TOTAL,GWH,BE	11645.000 	15818.000 	16658.000 	14664.000 	14567.000 	14328.000 	18853.000 	15816.000 	17158.000 	9486.000 	12395.000 	13189.000 	16848.000 	17243.000 	21791.000 	23714.000 	14648.000 	14189.400 	21635.900 	12734.400 	13721.900 
A,E7000,TOTAL,GWH,BG	964.000 	1092.000 	2040.000 	1283.000 	741.000 	799.000 	1139.000 	3058.000 	3097.000 	2662.000 	1167.000 	1449.000 	2353.000 	3351.000 	4319.000 	4251.000 	4568.000 	3705.423 	2222.726 	3044.947 	3706.736 
A,E7000,TOTAL,GWH,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,E7000,TOTAL,GWH,CZ	8725.000 	9380.000 	9502.000 	10086.000 	9776.000 	12351.000 	11466.000 	10204.000 	8520.000 	8586.000 	6642.000 	10457.000 	11587.000 	10571.000 	11842.000 	16146.000 	13817.000 	15071.999 	11573.410 	11026.213 	13368.051 
A,E7000,TOTAL,GWH,DE	45134.000 	45779.000 	48370.000 	49110.000 	48187.000 	56861.000 	48464.000 	45953.000 	41670.000 	41859.000 	42962.000 	51003.000 	46268.000 	39222.000 	40435.000 	37008.000 	28338.000 	27842.000 	31727.000 	40126.000 	47853.000 
A,E7000,TOTAL,GWH,DK	8417.000 	8199.000 	8939.000 	7023.000 	8673.000 	12943.000 	6767.000 	10427.000 	12815.000 	11208.000 	10599.000 	11694.000 	15920.000 	11459.000 	12702.000 	15644.747 	14976.458 	15218.109 	15633.609 	15981.899 	18593.972 
A,E7000,TOTAL,GWH,EA19	197405.378 	203120.250 	217660.643 	222736.176 	218646.310 	251588.448 	242460.272 	245699.072 	232959.218 	225137.753 	228812.094 	246194.673 	264062.418 	255574.258 	274675.914 	290258.902 	266333.130 	270589.143 	281897.733 	275694.629 	274843.324 
A,E7000,TOTAL,GWH,EE	374.000 	496.000 	412.000 	93.000 	347.000 	345.000 	251.000 	345.000 	1369.000 	3025.000 	1100.000 	1690.000 	2710.000 	2712.000 	3730.000 	5452.000 	3577.000 	2281.000 	3053.000 	4861.000 	7367.000 
A,E7000,TOTAL,GWH,EL	1729.000 	3562.000 	4602.000 	4169.000 	4854.000 	5616.000 	6140.000 	6412.000 	7575.000 	7600.000 	8517.000 	7180.000 	5954.000 	5788.000 	9461.000 	11081.000 	9833.000 	8696.000 	8550.000 	11067.000 	9831.000 
A,E7000,TOTAL,GWH,ES	12268.000 	10177.000 	12504.000 	9520.000 	8111.000 	10212.000 	9093.000 	8773.000 	5881.000 	6751.000 	5206.000 	7932.000 	7787.000 	9887.000 	12310.000 	14956.000 	21845.000 	23762.000 	24018.000 	18720.840 	17928.364 
A,E7000,TOTAL,GWH,EU27_2020	251792.378 	252175.250 	279688.643 	289918.176 	277200.310 	323963.448 	308853.272 	316962.072 	305128.218 	292276.753 	291540.094 	321114.673 	349454.418 	332062.258 	363686.914 	387638.649 	362524.588 	366554.328 	372348.276 	369432.448 	380881.850 
A,E7000,TOTAL,GWH,FI	12206.000 	11769.000 	13464.000 	11882.000 	11667.000 	17948.000 	14118.000 	15419.000 	16107.000 	15460.000 	15719.000 	17656.000 	19089.000 	17591.000 	21622.000 	21459.000 	22110.000 	22204.000 	22548.000 	23938.000 	21647.000 
A,E7000,TOTAL,GWH,FR	3695.000 	4471.000 	3705.000 	6959.000 	6571.000 	8062.000 	8522.000 	10782.000 	10748.000 	18517.000 	19475.000 	9501.000 	12213.000 	11687.000 	7873.000 	9961.000 	19903.000 	21119.180 	13512.090 	15631.750 	19536.102 
A,E7000,TOTAL,GWH,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	484.000 	853.000 	699.000 	1329.000 	1751.200 	1522.200 	1762.700 	1711.900 
A,E7000,TOTAL,GWH,HR	4386.000 	3744.000 	3927.000 	4479.000 	5298.000 	8746.000 	8313.000 	7812.000 	12254.000 	11892.000 	12415.000 	13985.000 	13174.000 	11260.000 	10898.000 	13158.000 	12398.000 	12157.900 	12693.400 	11400.800 	10491.000 
A,E7000,TOTAL,GWH,HU	9523.000 	10403.000 	12605.000 	14077.000 	10524.000 	15637.000 	15393.000 	14680.000 	12774.000 	10972.000 	9897.000 	14664.000 	16970.000 	16635.000 	19079.000 	19935.000 	17951.000 	19803.000 	18613.000 	19853.000 	19176.000 
A,E7000,TOTAL,GWH,IE	169.000 	38.000 	565.000 	1176.000 	1574.000 	2045.410 	1786.907 	1412.404 	753.031 	939.217 	759.887 	731.622 	783.605 	2625.164 	2853.015 	1751.975 	871.263 	1116.408 	1621.519 	2179.579 	1761.112 
