freq,siec,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,C0000X0350-0370,RU,THS_T,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	102.000 	0.000 	0.000 	73.677 	115.690 	87.341 
A,C0000X0350-0370,RU,THS_T,AT	0.000 	0.000 	0.000 	0.000 	80.000 	31.103 	53.379 	120.931 	0.024 	0.000 	96.591 	99.608 	203.061 	38.210 	13.821 	286.749 	272.918 	176.413 	213.978 	348.013 	343.463 
A,C0000X0350-0370,RU,THS_T,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	6.000 	4.938 	42.239 	260.826 
A,C0000X0350-0370,RU,THS_T,BE	1180.000 	1338.000 	1110.000 	935.000 	1280.000 	944.000 	786.000 	1164.000 	1318.000 	246.000 	125.000 	70.000 	494.000 	1313.000 	1376.000 	1271.000 	1330.000 	1197.400 	1531.300 	1472.400 	1192.600 
A,C0000X0350-0370,RU,THS_T,BG	744.000 	0.000 	908.000 	1287.000 	1119.000 	1160.000 	1476.000 	1051.000 	1280.000 	1014.000 	721.000 	955.000 	734.000 	801.000 	692.000 	882.000 	654.000 	784.814 	718.979 	606.893 	564.303 
A,C0000X0350-0370,RU,THS_T,CY	30.000 	59.000 	66.000 	51.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	11.000 	11.000 	32.454 	23.643 
A,C0000X0350-0370,RU,THS_T,CZ	6.000 	3.000 	39.000 	62.000 	109.000 	32.000 	52.000 	93.000 	90.000 	249.000 	386.000 	238.000 	159.000 	65.000 	71.000 	123.000 	150.000 	164.965 	415.901 	418.429 	343.978 
A,C0000X0350-0370,RU,THS_T,DE	1269.000 	2923.000 	2565.000 	2691.000 	5891.000 	7552.000 	8770.000 	9035.000 	9168.000 	9541.000 	11253.000 	10094.000 	10700.000 	12904.000 	14122.000 	15375.000 	16888.000 	19135.000 	19244.000 	19386.850 	14355.643 
A,C0000X0350-0370,RU,THS_T,DK	1295.000 	1816.000 	1085.000 	970.000 	1966.000 	1531.000 	2040.000 	2252.000 	2604.000 	2710.000 	1371.000 	1905.000 	1400.000 	1826.000 	1690.000 	1431.146 	1858.271 	1778.757 	1878.106 	2098.511 	1073.506 
A,C0000X0350-0370,RU,THS_T,EA19	10457.201 	12972.020 	13364.817 	15358.120 	22174.554 	21771.122 	22271.346 	24512.720 	24141.306 	23226.859 	25569.009 	26041.286 	26784.164 	31573.380 	32741.296 	36193.370 	37713.346 	45776.051 	44293.185 	39943.678 	30812.659 
A,C0000X0350-0370,RU,THS_T,EE	98.000 	84.000 	59.000 	58.000 	44.000 	54.000 	95.000 	176.000 	16.000 	30.000 	71.000 	67.000 	79.000 	57.000 	75.000 	7.000 	23.000 	45.000 	44.000 	48.695 	3.500 
A,C0000X0350-0370,RU,THS_T,EL	321.000 	573.000 	400.000 	244.000 	546.000 	380.000 	225.000 	412.000 	329.000 	233.000 	398.000 	84.000 	47.000 	71.000 	167.000 	165.000 	303.000 	370.180 	336.110 	289.670 	264.901 
A,C0000X0350-0370,RU,THS_T,ES	1572.000 	1762.000 	2418.000 	2000.000 	3343.000 	4264.000 	3661.000 	2772.000 	2704.000 	1983.000 	931.000 	1913.000 	3328.000 	2388.000 	2265.000 	4060.000 	2504.000 	5031.000 	3695.000 	2854.000 	2233.000 
A,C0000X0350-0370,RU,THS_T,EU27_2020	15351.201 	17851.020 	19457.817 	21609.120 	27969.554 	30763.122 	32672.346 	35210.720 	35987.306 	36003.859 	37980.009 	39635.286 	36573.164 	42050.380 	43561.296 	45432.516 	47570.449 	59024.781 	62105.866 	56068.667 	44216.834 
A,C0000X0350-0370,RU,THS_T,FI	2539.000 	2871.000 	2636.000 	5594.000 	5601.000 	2795.000 	3700.000 	4893.000 	3824.000 	4692.000 	3794.000 	5299.000 	2660.000 	3707.000 	3924.000 	2326.000 	2655.000 	2677.000 	2766.000 	2076.000 	1378.000 
A,C0000X0350-0370,RU,THS_T,FR	392.000 	235.000 	310.000 	358.000 	811.000 	927.000 	1148.000 	1133.000 	1838.000 	1613.000 	2946.000 	2382.000 	2637.000 	2966.000 	2680.000 	2428.000 	2753.000 	4073.788 	4264.385 	2801.769 	2452.035 
A,C0000X0350-0370,RU,THS_T,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.000 	64.000 	122.000 	148.000 	211.900 	397.755 	366.680 	264.337 
A,C0000X0350-0370,RU,THS_T,HR	13.000 	6.000 	0.000 	0.000 	0.000 	328.000 	445.000 	337.000 	15.000 	202.000 	268.000 	0.000 	0.000 	216.000 	853.000 	620.000 	767.000 	517.700 	218.000 	636.800 	450.300 
A,C0000X0350-0370,RU,THS_T,HU	257.000 	169.000 	177.000 	357.000 	659.000 	866.000 	770.000 	855.000 	762.000 	562.000 	285.000 	108.000 	58.000 	50.000 	41.000 	39.000 	32.000 	142.000 	257.000 	152.000 	268.000 
A,C0000X0350-0370,RU,THS_T,IE	0.000 	0.000 	4.000 	6.000 	3.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	6.082 	6.237 	1.507 	193.519 	7.425 	17.655 	25.986 	91.574 
A,C0000X0350-0370,RU,THS_T,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	10.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,C0000X0350-0370,RU,THS_T,IT	993.000 	868.000 	1426.000 	1061.000 	1901.000 	1096.000 	833.000 	803.000 	1026.000 	1256.000 	2092.000 	2763.000 	3089.000 	4410.000 	4001.000 	4064.000 	4402.000 	5509.194 	5078.791 	4407.283 	4007.350 
A,C0000X0350-0370,RU,THS_T,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,C0000X0350-0370,RU,THS_T,LT	123.000 	102.000 	217.000 	260.000 	260.000 	295.000 	392.000 	359.000 	359.000 	199.000 	317.000 	394.000 	319.000 	416.000 	299.000 	227.000 	225.000 	274.600 	262.800 	285.100 	175.900 
A,C0000X0350-0370,RU,THS_T,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	5.985 	6.319 	5.875 	5.856 	4.788 	4.760 	4.711 	4.645 
A,C0000X0350-0370,RU,THS_T,LV	88.000 	97.000 	108.000 	126.000 	99.000 	122.000 	165.000 	153.000 	153.000 	129.000 	144.000 	99.000 	112.000 	117.000 	79.000 	71.000 	63.000 	66.657 	77.874 	63.558 	38.580 
A,C0000X0350-0370,RU,THS_T,MD	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	94.000 	105.000 	16.000 	2.000 	65.000 	162.000 	86.000 	198.000 	126.000 	134.000 	132.260 
A,C0000X0350-0370,RU,THS_T,ME	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,C0000X0350-0370,RU,THS_T,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.000 	2.000 	22.000 	43.000 	46.000 	33.000 	71.000 	117.303 	99.913 	57.608 	48.307 	6.961 
A,C0000X0350-0370,RU,THS_T,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,C0000X0350-0370,RU,THS_T,NL	157.201 	368.020 	403.817 	184.120 	785.554 	1078.019 	1021.967 	1301.789 	1686.282 	1608.859 	2226.418 	1648.678 	1886.103 	2130.103 	2773.919 	4695.239 	5119.053 	5630.934 	5054.601 	4289.611 	3250.536 
A,C0000X0350-0370,RU,THS_T,NO	110.000 	67.000 	60.000 	190.000 	160.000 	82.000 	146.000 	81.000 	118.000 	101.000 	218.000 	213.000 	172.000 	100.000 	193.000 	186.000 	171.000 	231.000 	222.158 	250.868 	228.890 
A,C0000X0350-0370,RU,THS_T,PL	749.000 	915.000 	1466.000 	1730.000 	1469.000 	2404.000 	3354.000 	3079.000 	5061.000 	7094.000 	8178.000 	9345.000 	6607.000 	6580.000 	6579.000 	5008.000 	5238.832 	8641.586 	13117.785 	10836.926 	9462.718 
A,C0000X0350-0370,RU,THS_T,PT	90.000 	28.000 	12.000 	0.000 	0.000 	0.000 	22.000 	126.000 	21.000 	73.000 	47.000 	10.000 	6.000 	11.000 	0.000 	5.000 	0.000 	296.672 	70.931 	165.665 	0.000 
A,C0000X0350-0370,RU,THS_T,RO	1559.000 	1780.000 	2168.000 	1671.000 	0.000 	1824.000 	1502.000 	2324.000 	1270.000 	527.000 	546.000 	407.000 	329.000 	389.000 	389.000 	588.000 	653.000 	716.908 	598.910 	946.430 	718.370 
A,C0000X0350-0370,RU,THS_T,RS	0.000 	0.000 	0.000 	0.000 	0.000 	306.000 	211.000 	240.000 	312.000 	61.000 	145.000 	147.000 	133.000 	52.000 	117.000 	203.000 	158.000 	137.564 	276.770 	327.813 	242.353 
A,C0000X0350-0370,RU,THS_T,SE	271.000 	190.000 	250.000 	174.000 	473.000 	847.000 	762.000 	707.000 	764.000 	419.000 	656.000 	636.000 	502.000 	550.000 	505.000 	548.000 	504.000 	502.000 	608.000 	429.000 	523.000 
A,C0000X0350-0370,RU,THS_T,SI	0.000 	0.000 	0.000 	13.000 	13.000 	41.000 	34.000 	18.000 	40.000 	23.000 	7.000 	5.000 	6.000 	2.000 	2.000 	5.000 	0.000 	0.000 	0.000 	0.913 	17.289 
