freq,siec,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,G3000,RU,MIO_M3,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	11.759 
A,G3000,RU,MIO_M3,LT	2537.000 	2635.000 	2664.000 	2893.000 	2879.000 	3063.000 	3047.000 	3656.000 	3071.000 	2690.000 	3053.000 	3349.000 	3263.000 	2661.000 	2499.000 	2138.000 	869.000 	1343.000 	1303.000 	1191.000 	1196.000 
A,G3000,RU,MIO_M3,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	308.000 	295.000 	305.000 	327.000 	284.000 	290.000 	260.000 	245.000 	221.000 	203.000 	213.659 	211.960 	212.189 	191.546 
A,G3000,RU,MIO_M3,LV	1385.000 	1350.000 	1425.000 	1750.000 	2170.000 	1790.000 	1910.000 	1645.000 	1368.000 	1743.000 	1125.000 	1755.000 	1716.000 	1698.000 	947.000 	1306.000 	1132.000 	1242.660 	1414.807 	1353.952 	1114.949 
A,G3000,RU,MIO_M3,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1188.000 	1152.000 	1095.000 	1031.000 	1053.000 	1007.000 	1037.000 	1033.482 	1129.700 	1039.600 	1056.000 
A,G3000,RU,MIO_M3,ME	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,RU,MIO_M3,MK	65.000 	87.000 	91.000 	80.000 	71.000 	76.000 	82.000 	104.000 	119.000 	79.000 	116.000 	134.000 	139.000 	157.000 	134.000 	135.000 	211.000 	271.000 	251.000 	292.000 	334.000 
A,G3000,RU,MIO_M3,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,RU,MIO_M3,NL	0.000 	0.000 	0.000 	0.000 	0.000 	4431.000 	5064.000 	4747.000 	5161.000 	3627.000 	4039.000 	2022.000 	2931.000 	4291.000 	6406.000 	8006.852 	12612.249 	11259.167 	19821.981 	18811.046 	18117.491 
A,G3000,RU,MIO_M3,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	10.132 
A,G3000,RU,MIO_M3,PL	6564.000 	7319.000 	7060.000 	7232.000 	6223.000 	6905.000 	7525.000 	6855.000 	7783.000 	8166.000 	9756.000 	10076.000 	9774.000 	9621.000 	8947.000 	8786.000 	10902.000 	10316.949 	9717.426 	9602.542 	9557.538 
A,G3000,RU,MIO_M3,PT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	97.142 	572.708 
A,G3000,RU,MIO_M3,RO	3370.000 	2879.000 	3772.000 	4786.000 	5129.000 	5259.000 	5650.000 	4428.000 	4321.000 	1979.000 	2230.000 	2659.000 	2469.000 	1341.000 	521.000 	183.000 	1460.000 	1183.094 	1315.183 	989.592 	959.883 
A,G3000,RU,MIO_M3,RS	1122.000 	1575.000 	1698.000 	1882.000 	2536.000 	2120.000 	2167.000 	2232.000 	2177.000 	1565.000 	1766.000 	1478.000 	976.000 	1158.000 	1364.000 	1733.000 	1795.000 	2182.632 	2198.330 	2256.727 	1373.698 
A,G3000,RU,MIO_M3,SE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	184.303 
A,G3000,RU,MIO_M3,SI	604.000 	623.000 	600.000 	664.000 	658.000 	680.000 	563.000 	572.000 	509.000 	494.000 	495.000 	434.000 	365.000 	490.000 	283.000 	244.000 	293.000 	207.575 	276.625 	105.777 	78.045 
A,G3000,RU,MIO_M3,SK	7036.000 	7002.000 	7255.000 	6795.000 	6949.000 	7399.000 	6940.000 	6220.000 	6266.000 	5834.000 	6098.000 	5907.000 	4801.000 	5269.000 	4757.000 	4407.000 	4326.000 	4442.000 	4396.000 	6707.000 	3675.000 
A,G3000,RU,MIO_M3,TR	10082.000 	10929.000 	11573.000 	12619.000 	14102.000 	17523.000 	19316.000 	22752.000 	22962.000 	19473.000 	17575.000 	25407.000 	26490.000 	26213.000 	26976.000 	26784.000 	24541.000 	28685.000 	23643.000 	15196.000 	16178.050 
A,G3000,RU,MIO_M3,UA	51947.000 	29042.000 	27266.000 	31585.000 	32287.000 	23166.000 	0.000 	0.000 	1353.000 	21803.000 	35969.000 	39320.000 	32313.000 	25399.000 	14204.000 	6035.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,G3000,RU,MIO_M3,UK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	98.620 	1530.113 	3180.167 	: 
A,G3000,RU,MIO_M3,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
