freq,siec,partner,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,C0000X0350-0370,TOTAL,THS_T,AL	43.000 	64.000 	47.000 	6.000 	6.000 	9.000 	9.000 	9.000 	9.000 	151.000 	167.000 	212.000 	117.000 	102.000 	133.000 	102.000 	81.000 	80.450 	131.972 	121.026 	137.430 
A,C0000X0350-0370,TOTAL,THS_T,AT	4543.000 	4995.000 	5230.000 	5279.000 	5861.000 	5892.946 	5570.774 	5843.927 	5633.328 	4058.873 	5021.898 	4637.746 	4952.506 	4594.823 	4548.633 	4142.823 	4303.615 	4647.085 	4031.040 	4108.781 	3601.244 
A,C0000X0350-0370,TOTAL,THS_T,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1437.000 	1415.000 	1406.000 	1517.000 	1601.638 	1693.769 	1361.368 
A,C0000X0350-0370,TOTAL,THS_T,BE	12776.000 	14024.000 	10497.000 	9891.000 	10373.000 	9291.000 	8555.000 	8081.000 	8723.000 	5307.000 	6763.000 	6558.000 	5968.000 	6070.000 	5925.000 	4920.700 	4425.200 	4320.700 	4730.200 	4619.400 	3727.200 
A,C0000X0350-0370,TOTAL,THS_T,BG	3632.000 	4048.000 	4006.000 	4180.000 	4834.000 	4202.000 	4073.000 	5115.000 	5535.000 	2853.000 	2846.000 	3362.000 	2506.000 	1618.000 	1461.000 	1137.000 	859.000 	960.401 	897.079 	620.281 	661.034 
A,C0000X0350-0370,TOTAL,THS_T,CY	50.000 	59.000 	66.000 	51.000 	40.000 	64.000 	64.000 	34.000 	42.000 	27.000 	18.000 	1.000 	1.000 	1.000 	5.000 	6.000 	0.000 	16.500 	22.000 	32.454 	23.643 
A,C0000X0350-0370,TOTAL,THS_T,CZ	1697.000 	1730.000 	2032.000 	2292.000 	2740.000 	2046.000 	2988.000 	3567.000 	3137.000 	3020.000 	3681.000 	3769.000 	3501.000 	3635.000 	5585.000 	5046.000 	4718.000 	4796.189 	4758.695 	4449.049 	4318.885 
A,C0000X0350-0370,TOTAL,THS_T,DE	35928.000 	42530.000 	39688.000 	40142.000 	44070.000 	41012.000 	50016.000 	51136.000 	49921.000 	41233.000 	50484.000 	51916.000 	52479.000 	58034.000 	57453.000 	57637.000 	60327.000 	52935.000 	47259.772 	43007.711 	31280.775 
A,C0000X0350-0370,TOTAL,THS_T,DK	6464.000 	6955.000 	6302.000 	9547.000 	7634.000 	6067.000 	8727.000 	8157.000 	7609.000 	6733.000 	4594.000 	6159.000 	4000.000 	4973.000 	4554.000 	2772.426 	2897.384 	3085.752 	2770.486 	2396.234 	1122.166 
A,C0000X0350-0370,TOTAL,THS_T,EA19	151176.710 	155377.642 	156322.692 	158617.918 	170877.832 	162850.201 	172097.470 	172595.724 	167726.935 	135985.471 	146504.674 	152737.941 	160478.340 	154019.618 	154333.358 	154930.395 	147045.347 	145771.867 	131200.713 	105395.864 	72318.512 
A,C0000X0350-0370,TOTAL,THS_T,EE	102.000 	85.000 	61.000 	58.000 	44.000 	54.000 	95.000 	176.000 	123.000 	30.000 	71.000 	67.000 	82.000 	59.000 	82.000 	7.000 	23.000 	45.000 	44.000 	48.695 	3.500 
A,C0000X0350-0370,TOTAL,THS_T,EL	1246.000 	1367.000 	994.000 	751.000 	818.000 	650.000 	386.000 	613.000 	678.000 	298.000 	652.000 	506.000 	413.000 	441.000 	336.000 	257.000 	312.000 	411.305 	379.265 	326.510 	304.352 
A,C0000X0350-0370,TOTAL,THS_T,ES	21786.000 	19059.000 	24722.000 	21770.000 	24643.000 	24892.000 	23859.000 	24575.000 	21171.000 	17159.000 	13021.000 	16333.000 	22582.000 	13852.000 	16642.000 	19072.000 	14016.000 	19350.000 	16543.000 	9427.000 	4856.000 
A,C0000X0350-0370,TOTAL,THS_T,EU27_2020	173623.710 	179577.642 	181458.692 	188060.918 	200357.832 	190522.201 	204891.470 	208862.724 	205924.935 	165800.471 	180287.674 	189423.941 	188116.340 	182476.618 	184114.358 	180130.821 	172002.731 	174994.194 	166216.204 	137019.680 	96938.360 
A,C0000X0350-0370,TOTAL,THS_T,FI	5577.000 	6657.000 	6266.000 	10639.000 	8797.000 	5228.000 	7202.000 	7242.000 	6206.000 	6195.000 	6361.000 	7414.000 	4229.000 	5440.000 	5865.000 	4047.000 	4335.000 	4225.000 	4420.000 	3478.000 	2733.000 
A,C0000X0350-0370,TOTAL,THS_T,FR	20560.000 	17438.000 	19589.000 	18398.000 	20856.000 	21530.000 	22010.000 	20195.000 	22778.000 	16617.000 	19005.000 	17502.000 	18508.000 	18915.000 	14834.000 	13984.000 	13108.000 	15593.812 	14095.619 	10984.974 	7703.882 
A,C0000X0350-0370,TOTAL,THS_T,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	233.000 	257.000 	232.000 	251.000 	297.100 	420.000 	398.885 	279.016 
