freq,siec,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,C0000X0350-0370,PC,AL	58.904 	75.294 	75.807 	9.375 	9.375 	16.667 	16.667 	16.667 	12.857 	97.661 	97.880 	99.154 	98.478 	98.947 	100.000 	64.100 	95.901 	38.627 	32.637 	57.943 	53.934 
A,C0000X0350-0370,PC,AT	83.931 	89.462 	91.801 	86.573 	98.443 	99.377 	94.058 	102.092 	99.809 	95.880 	99.577 	89.586 	102.771 	94.087 	101.727 	86.926 	95.008 	99.885 	97.607 	96.661 	97.807 
A,C0000X0350-0370,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.258 	17.839 	14.941 	17.657 	14.883 	19.768 	15.417 
A,C0000X0350-0370,PC,BE	91.241 	106.811 	86.283 	97.556 	101.497 	101.346 	95.975 	96.399 	106.420 	82.701 	97.539 	100.837 	94.278 	93.942 	99.292 	95.736 	94.134 	94.991 	104.125 	102.128 	102.695 
A,C0000X0350-0370,PC,BG	35.200 	35.837 	38.013 	35.698 	40.703 	36.878 	35.207 	38.844 	42.952 	27.193 	24.504 	24.457 	21.497 	16.327 	14.644 	11.220 	9.773 	9.362 	10.148 	7.227 	9.229 
A,C0000X0350-0370,PC,CY	102.041 	111.321 	124.528 	96.226 	68.521 	121.080 	116.613 	67.468 	102.489 	123.607 	65.640 	1.659 	100.000 	100.000 	125.002 	100.000 	0.000 	326.409 	97.544 	117.226 	105.385 
A,C0000X0350-0370,PC,CZ	-21.976 	-21.031 	-17.330 	-15.995 	-13.844 	-16.210 	-16.349 	-14.880 	-15.609 	-19.578 	-15.256 	-11.301 	-12.265 	-9.915 	-4.517 	-1.823 	-1.322 	2.999 	5.826 	8.687 	12.989 
A,C0000X0350-0370,PC,DE	25.567 	29.897 	29.110 	29.438 	32.570 	31.741 	37.988 	37.027 	38.281 	35.425 	40.012 	41.563 	40.188 	44.468 	44.761 	45.422 	49.609 	45.297 	42.117 	47.245 	44.120 
A,C0000X0350-0370,PC,DK	94.921 	96.575 	88.376 	98.258 	101.382 	94.385 	93.605 	100.345 	108.459 	97.989 	69.377 	110.953 	93.645 	90.766 	104.917 	84.984 	83.739 	117.695 	102.292 	153.955 	74.851 
A,C0000X0350-0370,PC,EA19	52.316 	54.133 	54.220 	54.777 	58.289 	58.002 	61.032 	59.057 	63.005 	58.081 	60.589 	61.160 	60.600 	61.228 	63.332 	63.432 	64.989 	65.543 	62.741 	65.311 	58.875 
