freq,siec,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,C0000X0350-0370,PC,EE	125.209 	67.146 	93.346 	202.537 	34.173 	88.351 	170.688 	152.261 	100.318 	3.989 	132.651 	90.945 	150.787 	88.072 	105.698 	-6.784 	70.045 	87.172 	85.235 	107.159 	391.794 
A,C0000X0350-0370,PC,EL	8.497 	9.202 	6.969 	4.732 	5.096 	4.148 	2.670 	4.128 	4.972 	1.999 	5.096 	2.939 	2.278 	3.222 	2.895 	2.838 	4.356 	4.750 	5.136 	6.361 	10.176 
A,C0000X0350-0370,PC,ES	61.317 	58.502 	66.561 	63.313 	67.329 	70.275 	75.613 	66.676 	81.957 	93.023 	92.800 	67.723 	74.799 	66.306 	75.294 	75.387 	71.483 	84.556 	79.858 	89.467 	54.808 
A,C0000X0350-0370,PC,EU27_2020	29.849 	31.318 	32.021 	33.288 	36.106 	35.711 	37.585 	38.332 	41.579 	36.554 	38.235 	40.421 	39.847 	39.039 	41.490 	40.994 	41.102 	43.249 	43.766 	43.259 	35.838 
A,C0000X0350-0370,PC,FI	97.630 	100.975 	88.853 	112.892 	102.354 	101.974 	88.455 	95.100 	112.617 	108.196 	86.302 	115.327 	86.827 	88.331 	117.483 	91.310 	91.780 	91.479 	100.667 	98.861 	92.237 
A,C0000X0350-0370,PC,FR	86.282 	88.166 	92.822 	81.754 	94.264 	94.378 	104.870 	92.221 	109.970 	91.658 	100.960 	100.722 	96.707 	93.953 	98.998 	98.388 	93.660 	101.944 	101.006 	99.554 	96.299 
A,C0000X0350-0370,PC,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48.825 	57.298 	55.733 	62.917 	62.537 	88.380 	105.137 	82.181 
A,C0000X0350-0370,PC,HR	110.931 	92.728 	101.175 	99.820 	109.338 	91.319 	108.978 	101.828 	112.245 	89.752 	102.508 	98.401 	87.870 	110.070 	92.339 	103.036 	102.035 	100.725 	91.331 	107.309 	105.977 
A,C0000X0350-0370,PC,HU	28.088 	27.549 	24.847 	26.725 	31.588 	42.455 	40.783 	43.996 	46.606 	37.009 	41.883 	36.190 	34.112 	26.542 	27.909 	33.679 	32.467 	44.121 	48.409 	45.682 	43.677 
A,C0000X0350-0370,PC,IE	93.250 	100.420 	102.912 	95.772 	102.762 	100.823 	100.216 	90.052 	113.208 	112.678 	77.692 	114.526 	89.555 	112.413 	97.780 	102.975 	84.274 	109.797 	112.854 	68.227 	60.334 
A,C0000X0350-0370,PC,IS	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	108.360 	90.852 	105.877 	96.466 	98.112 	104.778 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 
A,C0000X0350-0370,PC,IT	104.619 	101.128 	95.532 	97.661 	101.121 	99.423 	99.653 	99.241 	101.813 	97.321 	100.829 	96.050 	96.642 	96.205 	98.702 	100.150 	97.519 	100.193 	100.981 	98.556 	93.027 
A,C0000X0350-0370,PC,LT	101.737 	90.834 	105.813 	108.156 	100.804 	101.011 	99.737 	93.904 	113.943 	83.033 	95.676 	110.947 	95.936 	107.663 	98.115 	90.642 	91.752 	107.802 	99.009 	108.103 	87.876 
A,C0000X0350-0370,PC,LU	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	102.227 	98.703 	98.005 	94.572 	106.827 	99.841 	106.764 	96.213 	100.888 	93.136 	112.266 
A,C0000X0350-0370,PC,LV	84.141 	70.844 	100.000 	122.423 	96.175 	97.658 	122.038 	92.160 	99.974 	94.079 	106.468 	102.285 	99.312 	91.219 	77.451 	85.185 	85.946 	88.524 	91.330 	110.791 	89.617 
A,C0000X0350-0370,PC,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97.559 	104.310 	96.622 	103.107 	92.230 	97.473 	78.908 	114.103 	105.009 	90.080 	103.189 
A,C0000X0350-0370,PC,ME	: 	: 	: 	: 	: 	-2.107 	-5.034 	-2.784 	-0.042 	-1.947 	-2.830 	-2.748 	-3.118 	-1.196 	-1.534 	-3.081 	-2.719 	-6.653 	-5.621 	-7.055 	-4.694 
A,C0000X0350-0370,PC,MK	6.624 	5.570 	5.141 	10.595 	5.943 	7.912 	9.558 	10.506 	10.199 	3.168 	9.290 	9.022 	9.517 	8.607 	11.052 	8.878 	12.743 	9.115 	13.858 	11.742 	10.602 
A,C0000X0350-0370,PC,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,C0000X0350-0370,PC,NL	99.394 	100.349 	99.686 	98.886 	101.018 	101.267 	98.685 	100.646 	99.178 	97.889 	101.380 	100.911 	98.932 	97.605 	102.585 	96.563 	99.554 	100.826 	99.813 	102.148 	91.935 
A,C0000X0350-0370,PC,NO	57.071 	-13.307 	-84.253 	-139.527 	-109.405 	-53.076 	-126.196 	-192.851 	-175.224 	-202.112 	-50.207 	-26.293 	-6.527 	-86.761 	-30.440 	0.170 	15.951 	88.900 	86.021 	90.445 	92.151 
A,C0000X0350-0370,PC,PL	-28.977 	-29.268 	-28.418 	-26.188 	-27.598 	-23.767 	-21.464 	-15.272 	-6.523 	-5.166 	-4.964 	-0.999 	-6.437 	-10.173 	-8.565 	-11.436 	-11.704 	-2.963 	8.227 	6.018 	0.334 
A,C0000X0350-0370,PC,PT	102.868 	92.953 	99.944 	99.726 	95.207 	96.301 	105.555 	100.504 	91.148 	106.755 	98.289 	97.244 	103.324 	95.416 	96.886 	98.477 	102.301 	105.604 	98.914 	122.131 	-6.515 
A,C0000X0350-0370,PC,RO	25.506 	29.796 	31.338 	28.396 	32.971 	33.173 	28.334 	34.231 	26.471 	13.245 	16.860 	13.312 	16.163 	18.246 	16.643 	16.658 	19.478 	18.364 	17.562 	22.038 	22.000 
A,C0000X0350-0370,PC,RS	3.396 	1.930 	1.894 	3.436 	5.336 	8.153 	10.402 	8.382 	9.535 	7.287 	9.364 	9.067 	5.310 	3.472 	7.497 	8.035 	7.890 	8.506 	10.113 	10.462 	6.512 
A,C0000X0350-0370,PC,SE	105.363 	95.767 	91.300 	106.855 	97.717 	105.920 	93.079 	98.299 	104.410 	76.985 	113.726 	103.684 	82.551 	89.742 	101.198 	97.375 	115.743 	101.303 	100.259 	103.209 	100.347 
A,C0000X0350-0370,PC,SI	18.774 	18.534 	19.596 	20.401 	21.864 	20.998 	20.042 	20.639 	28.745 	17.882 	19.259 	17.532 	21.547 	19.500 	21.564 	19.108 	17.260 	17.357 	18.875 	20.082 	17.580 
A,C0000X0350-0370,PC,SK	80.195 	77.948 	77.075 	79.641 	83.129 	88.348 	80.839 	95.439 	85.910 	83.068 	75.736 	81.717 	89.659 	80.604 	83.330 	84.537 	83.260 	87.818 	91.865 	92.216 	86.166 
A,C0000X0350-0370,PC,TR	39.100 	29.835 	41.659 	49.516 	50.100 	51.942 	51.687 	49.432 	43.987 	44.221 	47.113 	47.294 	56.068 	58.551 	57.064 	63.181 	61.733 	61.706 	59.601 	57.745 	63.656 
A,C0000X0350-0370,PC,UA	5.735 	3.902 	4.915 	10.232 	6.594 	7.062 	11.775 	15.186 	12.574 	3.583 	7.820 	6.679 	11.167 	6.973 	15.487 	31.234 	34.207 	48.477 	49.165 	50.735 	48.243 
A,C0000X0350-0370,PC,UK	39.599 	55.903 	48.222 	50.656 	60.373 	72.263 	76.086 	68.577 	75.724 	79.795 	50.341 	63.637 	68.693 	84.823 	89.521 	59.151 	50.153 	57.769 	81.818 	74.003 	: 
A,C0000X0350-0370,PC,XK	0.874 	0.778 	0.784 	0.834 	0.966 	1.521 	1.820 	1.007 	1.125 	0.438 	1.554 	1.883 	3.319 	0.595 	0.240 	-0.100 	-0.113 	0.020 	0.045 	-0.184 	0.316 
